feed	title	desc
http://www.undercoverclassroom.com/feeds/posts/default?alt=rss	Undercover Classroom	Meaningful Teaching Behind Closed Doors
https://www.ignant.com/category/art/feed	Art – IGNANT	IGNANT is an award-winning online magazine featuring the finest in art, design, photography, travel and architecture
https://educatorsofbeauty.com/feed	Educators of Beauty	
http://www.wired.co.uk/rss	WIRED UK	Future Science, Culture &amp; Technology News and Reviews
http://www.hivhereandnow.com/category/blog/feed	Blog – HIV Here & Now	Using poetry and the arts to advocate for a world without HIV or AIDS
https://www.gadgetgyani.com/feed	Gadget Gyani	Breaking News, Tech News, Apps, Entertainment
https://www.eurekalert.org/rss/medicine_health.xml	EurekAlert! - Medicine and Health	The premier online source for science news since 1996. A service of the American Association for the Advancement of Science.
http://www.gaylaxymag.com/feed	Gaylaxy Magazine	Empowering eXpressions
http://hotelmanager-blog.trivago.com/feed	trivago Business Blog	The place to learn about metasearch and hotel marketing
https://vermontwoodsstudios.com/blog/feed	Vermont Woods Studios	Furnishing a Greener World
http://feeds.greentechmedia.com/GreentechMedia	Greentech Media: Headlines	Headlines from Greentech Media
http://www.dentalimplants123.com/feed	Dental Implants | Chrysalis Dental Centres Canada	
https://viewfromawalkingframe.co.uk/feed	viewfromawalkingframe	A blog about an average girl who just happens to have Cerebral Palsy
http://www.weraddicted.com/category/music/feed	Music |	Lifestyle, Music, Fashion, Travel, and Food news and reviews and how-tos.
http://ladybunny.net/feed	LadyBunny.net	Lady Bunny's Official Website
https://travelsofadam.com/europe/england/london/feed	London – Travels of Adam (Hipster Blog)	
http://feeds.feedburner.com/LenPenzo	Len Penzo dot Com	The offbeat personal finance blog for responsible people.
http://divemagazine.co.uk/component/obrss/app-feed	App Feed	Feed for DIVE app
https://mayophotographer.ie/feed	Olga Klofac Photography	Portrait Photographer in Charlestown, Co. Mayo
http://sophisticatedpair.com/blog/feed	Blog – Sophisticated Pair	Lingerie Fit for your Curves
https://niallsadhdnotes.wordpress.com/feed	Niall's ADHD Notes.	ADHD Blog UK Ireland
https://leighsacoxphotographer.com.au/category/childrens-portraits/feed	Children’s portraits | Leighsa Cox Photographer	creating classically beautiful photographs
https://bankingtransformed.libsyn.com/rss	Banking Transformed with Jim Marous	Are you prepared to embrace change, take risks and disrupt yourself in response to the digital disruption in banking? If not, this podcast is for you. Hosted by top 5 banking and fintech influencer, Jim Marous, Banking Transformed highlights the leadership and cultural challenges facing the banking industry. Featuring interviews with some of the top minds in business, this podcast explores how financial institutions can prepare for the future of banking.
https://lilysageandco.com/category/refashioning/feed	refashioning	
https://blog.betzcenter.com/feed	BetzCenter Blog	Sports, Stats and more...
https://www.2doapp.com/rss	2Do	GTD, XYZ and everything in between. A powerful task manager.
http://scribblerinseville.com/feed	Scribbler in Seville	Living in Spain's most romantic city
https://www.oceanpointins.com/feed	OceanPoint Insurance	
https://bipolarbandit.wordpress.com/feed	Bipolar Bandit	If you want to know more about bipolar disorder, other mental illnesses and/or mental health advocacy, you are in the right place.
https://locallysourcedcuba.com/feed	Locally Sourced Cuba	
http://beust.com/weblog/feed	Otaku – Cedric's blog	Thoughts about software engineering
https://narcissistfamilyfiles.com/feed		Narcissistic Abuse Recovery
http://tenka.seiha.org/feed	Tenka Seiha	
http://www.bluearcher.com/blog.rss	Blue Archer Blog	Your digital resource for news, updates, insight and our own Blue Archer musings.
https://www.theboltonnews.co.uk/sport/national/rss	The Bolton News | UK Sport News	The Bolton News
https://blog.slamcity.com/feed	Slam City Skates Blog	Skate Videos, Interviews, London Skateboarding Events from Slam City Skates, London.
https://mymigrainelife.wordpress.com/feed	My Migraine Life	Living Life Through Migraine
https://asideofgoldfish.com/feed	Adventures in Patience, Love, and Hope…with a side of Autism and goldfish	Life experiences, advice, tips and tricks, and nonsense from a working Autism mom wanting to make the world a kinder, wiser place for her son
https://drmaryamzamani.com/blog/feed	Blog – Maryam Zamani M.D.  |  Cadogan Clinic London	Maryam Zamani M.D.  |  Cadogan Clinic London
https://jenniraincloud.com/feed	Jenni Raincloud	A Natural Lifestyle Blog
https://www.mazemenshealth.com/blog/feed	Maze Men’s Health Blog – Treating Low-T, Erectile Dysfunction & Peyronie’s | Sexual Health Experts	
http://feeds.feedburner.com/co/RudC	Ballet News Delivered	Here you'll find everything published on Ballet News each and every day. If you haven't had time to visit the website or if you prefer Ballet News to be delivered to you, here it is. Thank you for subscribing.
https://vinzideas.com/feed	Vinz Ideas – Discovering Asia on a Budget	Discovering Asia on a Budget
https://www.thebetterindia.com/topics/inspirational/feed	Inspirational – The Better India	Positive news. Happy Stories. Unsung Heroes
https://247newsaroundtheworld.com/feed	247 News Around The World	News, sports news, technology, fashion, entertainment, Opinion, Crime news and politics
http://www.waverlyclt.com/blog/feed	News & Events – Waverly	Mixed-Use Development in South Charlotte
http://www.thecreativeappleteaching.com/feed	The Creative Apple Teaching Resources	
http://feeds.feedburner.com/PhonesReview	PhonesReviews UK- Mobiles, Apps, Networks, Software, Tablet etc	All about Mobile Phones Reviews & Updates. Features & Specifications
